timestamp,load-1m,load-5m,load-15m,sys-mem-swap-total,sys-mem-swap-free,sys-mem-free,sys-mem-cache,sys-mem-buffered,sys-mem-available,sys-mem-total,sys-fork-rate,sys-interrupt-rate,sys-context-switch-rate,sys-thermal,disk-io-time,disk-bytes-read,disk-bytes-written,disk-io-read,disk-io-write,cpu-iowait,cpu-system,cpu-user,server-up
0,0.0,0.0,0.01,16952324096,16926896128,544333824,5052051456,870756352,6778843136,8080035840,0.8500000000000001,1023.45,2083.0,1.65,0.0021999999999934,0.0,13926.4,0.0,0.8,0.00300000000002,0.0129999999999199,0.0185000000001309,2
30,0.0,0.0,0.01,16952324096,16926896128,559804416,5052088320,870760448,6794379264,8080035840,1.0,953.25,1853.05,1.6,0.0015999999999621,0.0,16179.2,0.0,0.8500000000000001,0.0005000000000109,0.0095000000000254,0.010000000000582,2
60,0.0,0.0,0.01,16952324096,16926896128,545259520,5053366272,870768640,6781022208,8080035840,6.550000000000001,1211.0,3624.25,1.6,0.0025999999999839,0.0,38707.2,0.0,2.1,0.0045000000000072,0.0519999999999527,0.0820000000001528,2
90,0.08,0.02,0.01,16952324096,16926896128,557637632,5053788160,870768640,6793912320,8080035840,1.95,1096.25,2520.6000000000004,0.0,0.0027999999999337,0.0,111820.8,0.0,3.75,0.0035000000000081,0.0294999999999163,0.0210000000000945,2
120,0.05,0.01,0.01,16952324096,16926896128,550748160,5053931520,870772736,6787178496,8080035840,1.25,1006.85,2133.05,1.6,0.0019999999999527,0.0,32768.0,0.0,2.6,0.004000000000019,0.0124999999999999,0.0200000000000727,2
150,0.11,0.03,0.01,16952324096,16926896128,550600704,5053943808,870772736,6787043328,8080035840,0.95,961.05,1811.55,0.0,0.0018000000000029,0.0,13107.2,0.0,0.8500000000000001,0.00150000000001,0.0089999999999236,0.0124999999999999,2
180,0.06,0.02,0.01,16952324096,16926896128,551305216,5054017536,870772736,6787801088,8080035840,1.05,1009.7,2044.7,1.65,0.0011999999999716,0.0,14540.8,0.0,0.7000000000000001,0.0029999999999745,0.0085000000001855,0.0135000000000218,2
210,0.04,0.02,0.0,16952324096,16926896128,540794880,5057126400,870780928,6780211200,8080035840,6.95,1300.6,4257.400000000001,1.65,0.0024000000000341,0.0,58572.8,0.0,1.5,0.0039999999999963,0.0635000000000218,0.0890000000001237,2
240,0.02,0.02,0.0,16952324096,16926896128,557604864,5057273856,870785024,6797361152,8080035840,1.85,1067.45,2359.85,1.55,0.0025999999999839,0.0,124928.0,0.0,4.5,0.00300000000002,0.0195000000000618,0.018999999999869,2
270,0.01,0.02,0.0,16952324096,16926896128,543789056,5057355776,870785024,6783639552,8080035840,1.05,954.8,1852.3,0.0,0.0024000000000341,0.0,35840.0,0.0,3.2,0.0029999999999745,0.0104999999998653,0.013499999999658,2
300,0.01,0.01,0.0,16952324096,16926896128,541720576,5057376256,870789120,6781591552,8080035840,1.15,990.0,1919.3,0.1,0.0019999999999527,0.0,39526.4,0.0,6.0,0.0014999999999872,0.0125000000000909,0.0159999999996216,2
330,0.0,0.01,0.0,16952324096,16926896128,540901376,5057380352,870797312,6780784640,8080035840,1.1,992.9,1940.75,3.2,0.0018000000000029,0.0,38092.8,0.0,5.95,0.0010000000000218,0.0109999999999672,0.0119999999998981,2
360,0.0,0.01,0.0,16952324096,16926896128,542572544,5057396736,870801408,6782476288,8080035840,1.1,1013.15,2076.0,1.55,0.0020000000000436,0.0,34201.6,0.0,5.7,0.0029999999999972,0.0130000000001018,0.0135000000000218,2
390,0.15,0.04,0.01,16952324096,16926896128,536879104,5060358144,870805504,6779682816,8080035840,2.0500000000000003,1233.85,4171.150000000001,1.55,0.0018000000000029,0.0,40960.0,0.0,3.4000000000000004,0.0034999999999854,0.04350000000004,0.0844999999999345,2
420,0.09,0.03,0.01,16952324096,16926896128,552148992,5060505600,870809600,6795173888,8080035840,1.9,1052.05,2233.6,1.65,0.0032000000000152,0.0,127385.6,0.0,5.0,0.0034999999999854,0.0175000000000181,0.0210000000004583,2
450,0.05,0.03,0.0,16952324096,16926896128,545710080,5060554752,870809600,6788792320,8080035840,1.1,1011.8,1970.6,1.75,0.0020000000000436,0.0,21913.6,0.0,2.0500000000000003,0.0025000000000318,0.0140000000002146,0.0135000000000218,2
480,0.03,0.02,0.0,16952324096,16926896128,543928320,5060583424,870813696,6787026944,8080035840,0.9,989.75,1946.4,1.65,0.0018000000000029,0.0,15769.6,0.0,0.95,0.0014999999999872,0.0085000000000036,0.0164999999999054,2
510,0.02,0.02,0.0,16952324096,16926896128,540446720,5060591616,870813696,6783569920,8080035840,1.0,981.0,1817.55,0.0,0.0013999999999214,0.0,17203.2,0.0,0.9,0.0024999999999863,0.0109999999999672,0.0124999999998181,2
540,0.01,0.02,0.0,16952324096,16926896128,540094464,5060837376,870821888,6783340544,8080035840,1.15,985.9,2044.7,0.05,0.0015999999999621,0.0,15360.0,0.0,0.75,0.0014999999999417,0.0130000000000109,0.0184999999997671,2
570,0.0,0.02,0.0,16952324096,16926896128,529641472,5063049216,870825984,6775214080,8080035840,1.0,1199.8,3795.25,1.6,0.0025999999999839,0.0,33587.200000000004,0.0,2.6,0.0050000000000409,0.0380000000001018,0.0895000000000436,2
600,0.0,0.01,0.0,16952324096,16926896128,545984512,5063188480,870834176,6791712768,8080035840,1.8,1031.4,2253.2000000000003,1.65,0.0024000000000341,0.0,57753.600000000006,0.0,3.35,0.0034999999999854,0.0164999999999963,0.0199999999997089,2
630,0.0,0.01,0.0,16952324096,16926896128,542363648,5063217152,870838272,6788141056,8080035840,0.95,968.45,1886.15,1.75,0.0019999999999527,0.0,22323.2,0.0,2.1,0.00450000000003,0.0090000000000145,0.0120000000002619,2
660,0.0,0.01,0.0,16952324096,16926896128,541618176,5063254016,870838272,6787428352,8080035840,1.05,1012.7,1973.1,1.6,0.0024000000000341,0.0,17408.0,0.0,1.6,0.0010000000000218,0.0114999999999781,0.0155000000000654,2
690,0.0,0.0,0.0,16952324096,16926896128,541663232,5063262208,870838272,6787485696,8080035840,1.05,999.95,1909.6,1.6,0.0019999999999527,0.0,13926.4,0.0,0.9,0.0020000000000209,0.0129999999999199,0.0125,2
720,0.0,0.0,0.0,16952324096,16926896128,542003200,5063270400,870842368,6787833856,8080035840,1.0,1003.3,2052.2000000000003,1.65,0.0018000000000029,0.0,9830.4,0.0,0.65,0.0014999999999872,0.0094999999999345,0.0140000000001236,2
750,0.0,0.0,0.0,16952324096,16926896128,542531584,5063282688,870846464,6788382720,8080035840,1.05,986.3,1847.75,3.2,0.0018000000000029,0.0,11264.0,0.0,0.7000000000000001,0.0019999999999981,0.0109999999999672,0.0159999999998035,2
780,0.0,0.0,0.0,16952324096,16926896128,542699520,5063294976,870850560,6788567040,8080035840,1.05,988.4,1850.35,1.65,0.0018000000000029,0.0,14950.4,0.0,1.4,0.0034999999999854,0.0099999999998544,0.0160000000003492,2
